"Name","InvoiceId","InvoiceDate","Total","PreTotal","ComparingToLast"
Dan Miller,353,"2025-04-02 00:00:00",5.94,3.96,1.9800000000000004
Dan Miller,405,"2025-11-21 00:00:00",0.99,5.94,-4.95
Kathy Chase,16,"2021-03-05 00:00:00",3.96,,
Kathy Chase,38,"2021-06-07 00:00:00",5.94,3.96,1.9800000000000004
Kathy Chase,90,"2022-01-26 00:00:00",0.99,5.94,-4.95
Kathy Chase,211,"2023-07-20 00:00:00",1.98,0.99,0.99
Kathy Chase,222,"2023-08-30 00:00:00",13.86,1.98,11.879999999999999
Kathy Chase,277,"2024-04-29 00:00:00",8.91,13.86,-4.949999999999999
Kathy Chase,406,"2025-12-04 00:00:00",1.98,8.91,-6.93
Heather Leacock,91,"2022-02-08 00:00:00",1.98,,
Heather Leacock,114,"2022-05-13 00:00:00",3.96,1.98,1.98
Heather Leacock,136,"2022-08-15 00:00:00",5.94,3.96,1.9800000000000004
Heather Leacock,188,"2023-04-05 00:00:00",0.99,5.94,-4.95
Heather Leacock,309,"2024-09-26 00:00:00",3.98,0.99,2.99
Heather Leacock,320,"2024-11-06 00:00:00",13.86,3.98,9.879999999999999
Heather Leacock,375,"2025-07-07 00:00:00",8.91,13.86,-4.949999999999999
John Gordon,5,"2021-01-11 00:00:00",13.86,,
John Gordon,60,"2021-09-11 00:00:00",8.91,13.86,-4.949999999999999
John Gordon,189,"2023-04-18 00:00:00",1.98,8.91,-6.93
John Gordon,212,"2023-07-21 00:00:00",3.96,1.98,1.98
John Gordon,234,"2023-10-23 00:00:00",5.94,3.96,1.9800000000000004
John Gordon,286,"2024-06-12 00:00:00",0.99,5.94,-4.95
John Gordon,407,"2025-12-04 00:00:00",1.98,0.99,0.99
Frank Ralston,92,"2022-02-08 00:00:00",1.98,,
Frank Ralston,103,"2022-03-21 00:00:00",15.86,1.98,13.879999999999999
Frank Ralston,158,"2022-11-19 00:00:00",8.91,15.86,-6.949999999999999
Frank Ralston,287,"2024-06-25 00:00:00",1.98,8.91,-6.93
Frank Ralston,310,"2024-09-27 00:00:00",7.96,1.98,5.98
Frank Ralston,332,"2024-12-30 00:00:00",5.94,7.96,-2.0199999999999996
Frank Ralston,384,"2025-08-20 00:00:00",0.99,5.94,-4.95
Victor Stevens,17,"2021-03-06 00:00:00",5.94,,
Victor Stevens,69,"2021-10-25 00:00:00",0.99,5.94,-4.95
Victor Stevens,190,"2023-04-18 00:00:00",1.98,0.99,0.99
Victor Stevens,201,"2023-05-29 00:00:00",18.86,1.98,16.88
Victor Stevens,256,"2024-01-27 00:00:00",8.91,18.86,-9.95
Victor Stevens,385,"2025-09-02 00:00:00",1.98,8.91,-6.93
Victor Stevens,408,"2025-12-05 00:00:00",3.96,1.98,1.98
Richard Cunningham,70,"2021-11-07 00:00:00",1.98,,
Richard Cunningham,93,"2022-02-09 00:00:00",3.96,1.98,1.98
Richard Cunningham,115,"2022-05-14 00:00:00",5.94,3.96,1.9800000000000004
Richard Cunningham,167,"2023-01-02 00:00:00",0.99,5.94,-4.95
Richard Cunningham,288,"2024-06-25 00:00:00",1.98,0.99,0.99
Richard Cunningham,299,"2024-08-05 00:00:00",23.86,1.98,21.88
Richard Cunningham,354,"2025-04-05 00:00:00",8.91,23.86,-14.95
Patrick Gray,39,"2021-06-10 00:00:00",8.91,,
Patrick Gray,168,"2023-01-15 00:00:00",1.98,8.91,-6.93
Patrick Gray,191,"2023-04-19 00:00:00",3.96,1.98,1.98
Patrick Gray,213,"2023-07-22 00:00:00",5.94,3.96,1.9800000000000004
Patrick Gray,265,"2024-03-11 00:00:00",0.99,5.94,-4.95
Patrick Gray,386,"2025-09-02 00:00:00",1.98,0.99,0.99
Patrick Gray,397,"2025-10-13 00:00:00",13.86,1.98,11.879999999999999
Julia Barnett,71,"2021-11-07 00:00:00",1.98,,
Julia Barnett,82,"2021-12-18 00:00:00",13.86,1.98,11.879999999999999
Julia Barnett,137,"2022-08-18 00:00:00",8.91,13.86,-4.949999999999999
Julia Barnett,266,"2024-03-24 00:00:00",1.98,8.91,-6.93
Julia Barnett,289,"2024-06-26 00:00:00",3.96,1.98,1.98
Julia Barnett,311,"2024-09-28 00:00:00",11.94,3.96,7.9799999999999995
Julia Barnett,363,"2025-05-19 00:00:00",0.99,11.94,-10.95
Robert Brown,48,"2021-07-24 00:00:00",0.99,,
Robert Brown,169,"2023-01-15 00:00:00",1.98,0.99,0.99
Robert Brown,180,"2023-02-25 00:00:00",13.86,1.98,11.879999999999999
Robert Brown,235,"2023-10-26 00:00:00",8.91,13.86,-4.949999999999999
Robert Brown,364,"2025-06-01 00:00:00",1.98,8.91,-6.93
Robert Brown,387,"2025-09-03 00:00:00",3.96,1.98,1.98
Robert Brown,409,"2025-12-06 00:00:00",5.94,3.96,1.9800000000000004
Edward Francis,49,"2021-08-06 00:00:00",1.98,,
Edward Francis,72,"2021-11-08 00:00:00",3.96,1.98,1.98
Edward Francis,94,"2022-02-10 00:00:00",5.94,3.96,1.9800000000000004
Edward Francis,146,"2022-10-01 00:00:00",0.99,5.94,-4.95
Edward Francis,267,"2024-03-24 00:00:00",1.98,0.99,0.99
Edward Francis,278,"2024-05-04 00:00:00",13.86,1.98,11.879999999999999
Edward Francis,333,"2025-01-02 00:00:00",8.91,13.86,-4.949999999999999
Martha Silk,18,"2021-03-09 00:00:00",8.91,,
Martha Silk,147,"2022-10-14 00:00:00",1.98,8.91,-6.93
Martha Silk,170,"2023-01-16 00:00:00",3.96,1.98,1.98
Martha Silk,192,"2023-04-20 00:00:00",5.94,3.96,1.9800000000000004
Martha Silk,244,"2023-12-09 00:00:00",0.99,5.94,-4.95
Martha Silk,365,"2025-06-01 00:00:00",1.98,0.99,0.99
Martha Silk,376,"2025-07-12 00:00:00",13.86,1.98,11.879999999999999
Aaron Mitchell,50,"2021-08-06 00:00:00",1.98,,
Aaron Mitchell,61,"2021-09-16 00:00:00",13.86,1.98,11.879999999999999
Aaron Mitchell,116,"2022-05-17 00:00:00",8.91,13.86,-4.949999999999999
Aaron Mitchell,245,"2023-12-22 00:00:00",1.98,8.91,-6.93
Aaron Mitchell,268,"2024-03-25 00:00:00",3.96,1.98,1.98
Aaron Mitchell,290,"2024-06-27 00:00:00",5.94,3.96,1.9800000000000004
Aaron Mitchell,342,"2025-02-15 00:00:00",0.99,5.94,-4.95
Ellie Sullivan,27,"2021-04-22 00:00:00",0.99,,
Ellie Sullivan,148,"2022-10-14 00:00:00",1.98,0.99,0.99
Ellie Sullivan,159,"2022-11-24 00:00:00",13.86,1.98,11.879999999999999
Ellie Sullivan,214,"2023-07-25 00:00:00",8.91,13.86,-4.949999999999999
Ellie Sullivan,343,"2025-02-28 00:00:00",1.98,8.91,-6.93
Ellie Sullivan,366,"2025-06-02 00:00:00",3.96,1.98,1.98
Ellie Sullivan,388,"2025-09-04 00:00:00",5.94,3.96,1.9800000000000004
João Fernandes,28,"2021-05-05 00:00:00",1.98,,
João Fernandes,51,"2021-08-07 00:00:00",3.96,1.98,1.98
João Fernandes,73,"2021-11-09 00:00:00",5.94,3.96,1.9800000000000004
João Fernandes,125,"2022-06-30 00:00:00",0.99,5.94,-4.95
João Fernandes,246,"2023-12-22 00:00:00",1.98,0.99,0.99
João Fernandes,257,"2024-02-01 00:00:00",13.86,1.98,11.879999999999999
João Fernandes,312,"2024-10-01 00:00:00",10.91,13.86,-2.9499999999999993
Madalena Sampaio,126,"2022-07-13 00:00:00",1.98,,
Madalena Sampaio,149,"2022-10-15 00:00:00",3.96,1.98,1.98
Madalena Sampaio,171,"2023-01-17 00:00:00",5.94,3.96,1.9800000000000004
Madalena Sampaio,223,"2023-09-07 00:00:00",0.99,5.94,-4.95
Madalena Sampaio,344,"2025-02-28 00:00:00",1.98,0.99,0.99
Madalena Sampaio,355,"2025-04-10 00:00:00",13.86,1.98,11.879999999999999
Madalena Sampaio,410,"2025-12-09 00:00:00",8.91,13.86,-4.949999999999999
Hannah Schneider,29,"2021-05-05 00:00:00",1.98,,
Hannah Schneider,40,"2021-06-15 00:00:00",13.86,1.98,11.879999999999999
Hannah Schneider,95,"2022-02-13 00:00:00",8.91,13.86,-4.949999999999999
Hannah Schneider,224,"2023-09-20 00:00:00",1.98,8.91,-6.93
Hannah Schneider,247,"2023-12-23 00:00:00",3.96,1.98,1.98
Hannah Schneider,269,"2024-03-26 00:00:00",5.94,3.96,1.9800000000000004
Hannah Schneider,321,"2024-11-14 00:00:00",0.99,5.94,-4.95
Fynn Zimmermann,6,"2021-01-19 00:00:00",0.99,,
Fynn Zimmermann,127,"2022-07-13 00:00:00",1.98,0.99,0.99
Fynn Zimmermann,138,"2022-08-23 00:00:00",13.86,1.98,11.879999999999999
Fynn Zimmermann,193,"2023-04-23 00:00:00",14.91,13.86,1.0500000000000007
Fynn Zimmermann,322,"2024-11-27 00:00:00",1.98,14.91,-12.93
Fynn Zimmermann,345,"2025-03-01 00:00:00",3.96,1.98,1.98
Fynn Zimmermann,367,"2025-06-03 00:00:00",5.94,3.96,1.9800000000000004
Niklas Schröder,7,"2021-02-01 00:00:00",1.98,,
Niklas Schröder,30,"2021-05-06 00:00:00",3.96,1.98,1.98
Niklas Schröder,52,"2021-08-08 00:00:00",5.94,3.96,1.9800000000000004
Niklas Schröder,104,"2022-03-29 00:00:00",0.99,5.94,-4.95
Niklas Schröder,225,"2023-09-20 00:00:00",1.98,0.99,0.99
Niklas Schröder,236,"2023-10-31 00:00:00",13.86,1.98,11.879999999999999
Niklas Schröder,291,"2024-06-30 00:00:00",8.91,13.86,-4.949999999999999
Camille Bernard,105,"2022-04-11 00:00:00",1.98,,
Camille Bernard,128,"2022-07-14 00:00:00",3.96,1.98,1.98
Camille Bernard,150,"2022-10-16 00:00:00",5.94,3.96,1.9800000000000004
Camille Bernard,202,"2023-06-06 00:00:00",1.99,5.94,-3.95
Camille Bernard,323,"2024-11-27 00:00:00",1.98,1.99,-0.010000000000000009
Camille Bernard,334,"2025-01-07 00:00:00",13.86,1.98,11.879999999999999
Camille Bernard,389,"2025-09-07 00:00:00",8.91,13.86,-4.949999999999999
Dominique Lefebvre,8,"2021-02-01 00:00:00",1.98,,
Dominique Lefebvre,19,"2021-03-14 00:00:00",13.86,1.98,11.879999999999999
Dominique Lefebvre,74,"2021-11-12 00:00:00",8.91,13.86,-4.949999999999999
Dominique Lefebvre,203,"2023-06-19 00:00:00",2.98,8.91,-5.93
Dominique Lefebvre,226,"2023-09-21 00:00:00",3.96,2.98,0.98
Dominique Lefebvre,248,"2023-12-24 00:00:00",5.94,3.96,1.9800000000000004
Dominique Lefebvre,300,"2024-08-13 00:00:00",0.99,5.94,-4.95
Marc Dubois,106,"2022-04-11 00:00:00",1.98,,
Marc Dubois,117,"2022-05-22 00:00:00",13.86,1.98,11.879999999999999
Marc Dubois,172,"2023-01-20 00:00:00",8.91,13.86,-4.949999999999999
Marc Dubois,301,"2024-08-26 00:00:00",1.98,8.91,-6.93
Marc Dubois,324,"2024-11-28 00:00:00",3.96,1.98,1.98
Marc Dubois,346,"2025-03-02 00:00:00",5.94,3.96,1.9800000000000004
Marc Dubois,398,"2025-10-21 00:00:00",0.99,5.94,-4.95
Wyatt Girard,9,"2021-02-02 00:00:00",3.96,,
Wyatt Girard,31,"2021-05-07 00:00:00",5.94,3.96,1.9800000000000004
Wyatt Girard,83,"2021-12-26 00:00:00",0.99,5.94,-4.95
Wyatt Girard,204,"2023-06-19 00:00:00",3.98,0.99,2.99
Wyatt Girard,215,"2023-07-30 00:00:00",13.86,3.98,9.879999999999999
Wyatt Girard,270,"2024-03-29 00:00:00",8.91,13.86,-4.949999999999999
Wyatt Girard,399,"2025-11-03 00:00:00",1.98,8.91,-6.93
Isabelle Mercier,84,"2022-01-08 00:00:00",1.98,,
Isabelle Mercier,107,"2022-04-12 00:00:00",3.96,1.98,1.98
Isabelle Mercier,129,"2022-07-15 00:00:00",5.94,3.96,1.9800000000000004
Isabelle Mercier,181,"2023-03-05 00:00:00",0.99,5.94,-4.95
Isabelle Mercier,302,"2024-08-26 00:00:00",1.98,0.99,0.99
Isabelle Mercier,313,"2024-10-06 00:00:00",16.86,1.98,14.879999999999999
Isabelle Mercier,368,"2025-06-06 00:00:00",8.91,16.86,-7.949999999999999
Terhi Hämäläinen,53,"2021-08-11 00:00:00",8.91,,
Terhi Hämäläinen,182,"2023-03-18 00:00:00",1.98,8.91,-6.93
Terhi Hämäläinen,205,"2023-06-20 00:00:00",7.96,1.98,5.98
Terhi Hämäläinen,227,"2023-09-22 00:00:00",5.94,7.96,-2.0199999999999996
Terhi Hämäläinen,279,"2024-05-12 00:00:00",0.99,5.94,-4.95
Terhi Hämäläinen,400,"2025-11-03 00:00:00",1.98,0.99,0.99
Terhi Hämäläinen,411,"2025-12-14 00:00:00",13.86,1.98,11.879999999999999
Ladislav Kovács,85,"2022-01-08 00:00:00",1.98,,
Ladislav Kovács,96,"2022-02-18 00:00:00",21.86,1.98,19.88
Ladislav Kovács,151,"2022-10-19 00:00:00",8.91,21.86,-12.95
Ladislav Kovács,280,"2024-05-25 00:00:00",1.98,8.91,-6.93
Ladislav Kovács,303,"2024-08-27 00:00:00",3.96,1.98,1.98
Ladislav Kovács,325,"2024-11-29 00:00:00",5.94,3.96,1.9800000000000004
Ladislav Kovács,377,"2025-07-20 00:00:00",0.99,5.94,-4.95
Hugh O'Reilly,10,"2021-02-03 00:00:00",5.94,,
Hugh O'Reilly,62,"2021-09-24 00:00:00",0.99,5.94,-4.95
Hugh O'Reilly,183,"2023-03-18 00:00:00",1.98,0.99,0.99
Hugh O'Reilly,194,"2023-04-28 00:00:00",21.86,1.98,19.88
Hugh O'Reilly,249,"2023-12-27 00:00:00",8.91,21.86,-12.95
Hugh O'Reilly,378,"2025-08-02 00:00:00",1.98,8.91,-6.93
Hugh O'Reilly,401,"2025-11-04 00:00:00",3.96,1.98,1.98
Lucas Mancini,63,"2021-10-07 00:00:00",1.98,,
Lucas Mancini,86,"2022-01-09 00:00:00",3.96,1.98,1.98
Lucas Mancini,108,"2022-04-13 00:00:00",5.94,3.96,1.9800000000000004
Lucas Mancini,160,"2022-12-02 00:00:00",0.99,5.94,-4.95
Lucas Mancini,281,"2024-05-25 00:00:00",1.98,0.99,0.99
Lucas Mancini,292,"2024-07-05 00:00:00",13.86,1.98,11.879999999999999
Lucas Mancini,347,"2025-03-05 00:00:00",8.91,13.86,-4.949999999999999
Johannes Van der Berg,32,"2021-05-10 00:00:00",8.91,,
Johannes Van der Berg,161,"2022-12-15 00:00:00",1.98,8.91,-6.93
Johannes Van der Berg,184,"2023-03-19 00:00:00",3.96,1.98,1.98
Johannes Van der Berg,206,"2023-06-21 00:00:00",8.94,3.96,4.9799999999999995
Johannes Van der Berg,258,"2024-02-09 00:00:00",0.99,8.94,-7.949999999999999
Johannes Van der Berg,379,"2025-08-02 00:00:00",1.98,0.99,0.99
Johannes Van der Berg,390,"2025-09-12 00:00:00",13.86,1.98,11.879999999999999
Stanisław Wójcik,64,"2021-10-07 00:00:00",1.98,,
Stanisław Wójcik,75,"2021-11-17 00:00:00",13.86,1.98,11.879999999999999
Stanisław Wójcik,130,"2022-07-18 00:00:00",8.91,13.86,-4.949999999999999
Stanisław Wójcik,259,"2024-02-22 00:00:00",1.98,8.91,-6.93
Stanisław Wójcik,282,"2024-05-26 00:00:00",3.96,1.98,1.98
Stanisław Wójcik,304,"2024-08-28 00:00:00",5.94,3.96,1.9800000000000004
Stanisław Wójcik,356,"2025-04-18 00:00:00",0.99,5.94,-4.95
Enrique Muñoz,41,"2021-06-23 00:00:00",0.99,,
Enrique Muñoz,162,"2022-12-15 00:00:00",1.98,0.99,0.99
Enrique Muñoz,173,"2023-01-25 00:00:00",13.86,1.98,11.879999999999999
Enrique Muñoz,228,"2023-09-25 00:00:00",8.91,13.86,-4.949999999999999
Enrique Muñoz,357,"2025-05-01 00:00:00",1.98,8.91,-6.93
Enrique Muñoz,380,"2025-08-03 00:00:00",3.96,1.98,1.98
Enrique Muñoz,402,"2025-11-05 00:00:00",5.94,3.96,1.9800000000000004
Joakim Johansson,42,"2021-07-06 00:00:00",1.98,,
Joakim Johansson,65,"2021-10-08 00:00:00",3.96,1.98,1.98
Joakim Johansson,87,"2022-01-10 00:00:00",6.94,3.96,2.9800000000000004
Joakim Johansson,139,"2022-08-31 00:00:00",0.99,6.94,-5.95
Joakim Johansson,260,"2024-02-22 00:00:00",1.98,0.99,0.99
Joakim Johansson,271,"2024-04-03 00:00:00",13.86,1.98,11.879999999999999
Joakim Johansson,326,"2024-12-02 00:00:00",8.91,13.86,-4.949999999999999
Emma Jones,11,"2021-02-06 00:00:00",8.91,,
Emma Jones,140,"2022-09-13 00:00:00",1.98,8.91,-6.93
Emma Jones,163,"2022-12-16 00:00:00",3.96,1.98,1.98
Emma Jones,185,"2023-03-20 00:00:00",5.94,3.96,1.9800000000000004
Emma Jones,237,"2023-11-08 00:00:00",0.99,5.94,-4.95
Emma Jones,358,"2025-05-01 00:00:00",1.98,0.99,0.99
Emma Jones,369,"2025-06-11 00:00:00",13.86,1.98,11.879999999999999
Phil Hughes,43,"2021-07-06 00:00:00",1.98,,
Phil Hughes,54,"2021-08-16 00:00:00",13.86,1.98,11.879999999999999
Phil Hughes,109,"2022-04-16 00:00:00",8.91,13.86,-4.949999999999999
